Voter ID,County,Candidate
12864552,Marsh,Khan
17444633,Marsh,Correy
19330107,Marsh,Khan
19865775,Queen,Khan
11927875,Marsh,Khan
19014606,Marsh,Li
17775191,Queen,Correy
14003692,Marsh,Khan
14255761,Marsh,Khan
13870173,Marsh,Correy
16793141,Marsh,Khan
10591158,Bamoo,Correy
12344763,Trandee,Khan
18611011,Marsh,Khan
17845903,Marsh,Correy
12621425,Trandee,Khan
14365844,Marsh,Correy
13444989,Marsh,Correy
19204501,Trandee,Khan
10098063,Queen,Correy
19843246,Marsh,Correy
11509120,Marsh,Correy
13402499,Marsh,Correy
18138694,Marsh,Khan
15056703,Marsh,Khan
12026178,Queen,Khan
16667390,Marsh,Khan
12847422,Queen,Khan
10599242,Marsh,Khan
18558857,Queen,Correy
19533707,Queen,Correy
13360545,Marsh,Khan
13212178,Queen,Khan
11154929,Marsh,Khan
19602413,Marsh,Khan
15405592,Marsh,Khan
19561790,Marsh,Khan
17094559,Marsh,Li
18233965,Marsh,Li
19984144,Marsh,Khan
16973343,Trandee,Khan
17295190,Marsh,Khan
18554319,Marsh,Khan
15611748,Raffah,Khan
12354752,Marsh,Khan
19600774,Marsh,Khan
18121503,Bamoo,O'Tooley
16911714,Marsh,Khan
14187424,Marsh,Khan
12753806,Marsh,Khan
12558332,Marsh,Khan
12135098,Marsh,Khan
10985784,Queen,Khan
16471243,Marsh,Li
14671650,Bamoo,Li
18678460,Marsh,Li
19697964,Bamoo,Khan
13317391,Marsh,Khan
10546494,Marsh,Correy
17187093,Marsh,Khan
16592767,Marsh,Khan
10495056,Queen,Khan
18469894,Marsh,Khan
16986900,Queen,Correy
10354536,Marsh,Khan
15503560,Queen,Khan
12455481,Marsh,Khan
19288647,Queen,O'Tooley
14628255,Marsh,Li
12204953,Marsh,Khan
11898633,Bamoo,Correy
15507376,Queen,Khan
15568341,Marsh,Khan
11893229,Queen,Khan
11959936,Marsh,Khan
13983895,Marsh,Khan
10681107,Marsh,Correy
13159206,Marsh,Khan
17526080,Marsh,Khan
18778133,Queen,Khan
18908438,Marsh,Li
19043853,Marsh,Khan
16923106,Marsh,Khan
15687359,Marsh,Khan
12873603,Queen,Khan
14208674,Bamoo,Khan
15327117,Marsh,Khan
17286320,Marsh,Khan
12522584,Marsh,Khan
19231755,Queen,Khan
13073690,Marsh,Khan
13457436,Trandee,Khan
19973957,Queen,Khan
10315605,Trandee,Khan
12936845,Marsh,Correy
18052904,Bamoo,Khan
15563039,Marsh,Khan
10146708,Marsh,Khan
15152016,Marsh,Khan
15235971,Marsh,Khan
17631127,Marsh,Khan
11012216,Queen,Li
10687887,Marsh,Khan
11555429,Marsh,Khan
17333717,Marsh,Li
18087110,Marsh,Correy
12373068,Marsh,Khan
11332203,Queen,Correy
